name,nation,genre,director,actor,audits
위험한 상견례,한국,"['코미디', '멜로/로맨스']",['김진영'],"['송새벽', '이시영', '백윤식', '김수미', '박철민', '강동호', '손대구', '임종혁', '김효원', '김원석', '정웅인', '이연주', '박정민', '박주희', '정성화', '서용주', '김선영', '박민우', '정승혜', '이진규', '이진성', '오상훈', '양민석', '김준영', '이명숙', '이한위', '길해연', '박효주', '김정난']",12세이상관람가
분노의 질주: 언리미티드,미국,"['스릴러', '드라마', '범죄', '액션']",['저스틴 린'],"['드웨인 존슨', '폴 워커', '빈 디젤']",15세이상관람가
토르: 천둥의 신,미국,"['액션', '어드벤처', '판타지']",['케네스 브래너'],"['스텔란 스카스가드', '스튜어트 타운젠드', '나탈리 포트만', '크리스 헴스워스', '안소니 홉킨스']",12세이상관람가
킹스 스피치,영국,['드라마'],['톰 후퍼'],"['콜린 퍼스', '제프리 러쉬', '헬레나 본햄 카터']",12세이상관람가
월드 인베이젼,미국,"['SF', '액션']",['조나단 리브스만'],"['아론 에크하트', '미쉘 로드리게즈', '브리짓 모나핸']",12세이상관람가
블랙 스완,미국,"['드라마', '스릴러']",['대런 아로노프스키'],"['나탈리 포트만', '뱅상 카셀', '밀라 쿠니스']",청소년관람불가
아이들...,한국,"['범죄', '스릴러']",['이규만'],"['박용우', '류승룡', '성동일', '성지루', '김여진', '박병은', '주진모', '조덕제', '서영화', '이의수', '손광익', '임태환', '이상훈', '박현수', '이보라', '최동훈', '유지은', '이훈직', '정민', '정계순', '신현종', '장준녕', '이봉규', '전국환', '서주희', '라미란', '오동주', '박미현', '이재우', '양지웅']",15세이상관람가
조선명탐정 : 각시투구꽃의 비밀,한국,"['코미디', '액션']",['김석윤'],"['김명민', '김호연', '한지민', '오달수', '김영훈', '백성기', '지승현', '류현상', '김경화', '김탁호', '김윤섭', '김태훈', '최무성', '남성진', '우현', '이재용', '예수정']",12세이상관람가
글러브,한국,['드라마'],['강우석'],"['강신일', '김미경', '김혜성', '유선', '정재영', '조진웅', '장기범', '이현우', '김경호', '조찬형', '안창현', '한만진', '서혜진', '김선우', '최성필', '정진규', '김정우', '최은성', '이창수', '이해영', '전국환', '리우진', '오희준']",전체관람가
헬로우 고스트,한국,"['코미디', '드라마']",['김영탁'],"['차태현', '강예원', '이문수', '고창석', '장영남', '천보근', '신성일', '이창수', '라미란', '이한위', '조덕제', '박길수', '안길강']",12세이상관람가
