yearWeekTime,rank,movieCd,movieNm,openDt,salesAmt,salesAcc,audiCnt,audiAcc,scrnCnt,showCnt
201101,4,20101222,황해,2010-12-22,2364501000,16360701000,305162,2113649,474,8103
201101,5,20101224,해리 포터와 죽음의 성물1,2010-12-15,1261687500,19556543000,179331,2759540,287,5670
201101,6,20101348,새미의 어드벤쳐,2010-12-15,1452580500,8696155500,156122,922226,225,3618
201101,7,20101225,트론: 새로운 시작,2010-12-29,1211141100,4584056200,110894,412742,355,5474
201101,8,20101226,극장판 포켓 몬스터 DP 「환영의 패왕 조로아크」,2010-12-23,377086500,2375438500,54527,339819,107,863
201101,9,20102413,극장판 메탈 베이블레이드 VS 태양 작열의 침략자 솔블레이즈,2011-01-05,311313000,311313000,46127,46127,111,1301
201101,10,20100962,"울지마, 톤즈",2010-09-09,177555000,1695590500,29856,303581,76,740
201052,1,20101209,라스트 갓파더,2010-12-29,9703871000,9703871000,1313126,1313126,547,12810
201052,2,20101223,헬로우 고스트,2010-12-22,6319161000,12777410000,863956,1752556,443,13902
201052,3,20101222,황해,2010-12-22,5800165000,13996200000,752477,1808487,594,13296
201052,4,20101224,해리 포터와 죽음의 성물1,2010-12-15,3155217000,18294855500,450672,2580209,471,10199
201052,5,20101225,트론: 새로운 시작,2010-12-29,3364482100,3372915100,301221,301848,379,8528
201052,6,20101348,새미의 어드벤쳐,2010-12-15,2365895000,7243575000,254047,766104,249,4428
201052,7,20101226,극장판 포켓 몬스터 DP 「환영의 패왕 조로아크」,2010-12-23,807311500,1998352000,116409,285292,113,2470
201052,8,20101221,쩨쩨한 로맨스,2010-12-01,676364000,15499988000,92118,2029296,268,2686
201052,9,20101378,쓰리 데이즈,2010-12-22,596463500,1766295500,82204,241873,211,3060
201052,10,20101200,김종욱 찾기,2010-12-08,413257000,7985367500,56574,1093315,245,1813
201051,1,20101222,황해,2010-12-22,8196035000,8196035000,1056010,1056010,618,12793
201051,2,20101224,해리 포터와 죽음의 성물1,2010-12-15,7256079000,15139638500,1018557,2129537,605,17216
201051,3,20101223,헬로우 고스트,2010-12-22,6356696000,6458249000,873290,888600,472,12127
